ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date & Time,Tree Plot ID #,Tree species,Other (specify) - Tree species,DBH (cm),Cardinal Direction,Soil organic layer depth (cm),Soil moisture (% V/V),Distance from tree trunk (m),Soil organic layer depth (cm),Soil moisture (% V/V),Distance from tree trunk (m),Ground Cover Types,Mixed/Other (specify) - Ground Cover Types,Notes & Comments,x,y
16,f3efa21d-e794-4aff-a6e6-7839fbe8e74e,09/04/2025 13:26:07.542,HDuncanAEG,09/04/2025 13:26:07.542,HDuncanAEG,04/09/2025 12:48,16,Silver Birch (Betula pendula),,7.8,North,18.5,28.9,0.5,9.5,34.2,7,Leaf Litter/Organic debris,,Crossed a creek in transect and it just started raining.,-4.264207333,56.50817063
17,1c3ba387-dabc-4611-aa12-9f2e721d899f,09/04/2025 13:26:15.861,HDuncanAEG,09/04/2025 13:26:15.861,HDuncanAEG,04/09/2025 12:53,17,other,Alder,3.2,East,8,24.5,0.5,20,90.8,7,Leaf Litter/Organic debris,,We are in a creek bed potentially but not actively running. The measurement near the tree was on a rock.,-4.264153666,56.50820698
18,5320038c-c4c7-49e1-a6dc-8a2f18a7384e,09/04/2025 13:26:22.755,HDuncanAEG,09/04/2025 13:26:22.755,HDuncanAEG,04/09/2025 13:03,18,Silver Birch (Betula pendula),,7.9,South,25.5,82.6,0.5,21.5,27.4,7,Heather/Moorland (Calluna vulga,,Lots of deep water pits all around.,-4.264559938,56.5077742
19,6a6d2ca3-d256-4ba0-8731-8da44f5c2c19,09/04/2025 13:26:32.259,HDuncanAEG,09/04/2025 13:26:32.259,HDuncanAEG,04/09/2025 13:09,19,Silver Birch (Betula pendula),,9.4,West,13,91.6,0.5,14.3,89.9,7,Heather/Moorland (Calluna vulga,,Pine quite near to sample point 7 m off. ,-4.264418179,56.50747257
20,f249e4fc-801c-4f16-98c1-39ed758b37a1,09/04/2025 13:26:40.889,HDuncanAEG,09/04/2025 13:31:07.999,HDuncanAEG,04/09/2025 13:20,20,Downy Birch (Betula pubescens),,5.9,West,13,28.9,0.5,25.5,69.2,7,Mosses/Lichens (bryophyte or li,,Lots of heather as well,-4.264714029,56.5071932
21,0b9db267-a9a3-4a25-98ce-ab83bb1d4674,09/04/2025 14:00:00.522,HDuncanAEG,09/04/2025 14:00:00.522,HDuncanAEG,04/09/2025 13:54,21,other,Alder,4.5,West,9.7,57.8,0.5,33.5,78.8,7,Heather/Moorland (Calluna vulga,,Down stream of a creek and boggy,-4.263589078,56.51006712
22,22eea592-d546-4d9d-9a0d-9a5b96a3800a,09/04/2025 14:17:49.393,HDuncanAEG,09/04/2025 14:17:49.393,HDuncanAEG,04/09/2025 14:01,22,Rowan (Sorbus aucuparia),,10.2,East,15.5,28.1,0.5,8.5,68.7,7,Mosses/Lichens (bryophyte or li,,Moss with heather patches next to a river,-4.262813129,56.51012697
23,bbfa1bf1-d6ec-4730-b0ec-35e8a47d891b,09/04/2025 14:18:00.294,HDuncanAEG,09/04/2025 14:18:00.294,HDuncanAEG,04/09/2025 14:05,23,Rowan (Sorbus aucuparia),,3.9,East,14.5,88.4,0.5,12.5,61.6,7,Mosses/Lichens (bryophyte or li,,"Heather patches all over, next to river ",-4.262831112,56.51005494
24,e1e2c9f8-31de-4aa3-ba2d-dfb03d269857,09/04/2025 14:18:10.267,HDuncanAEG,09/04/2025 14:18:10.267,HDuncanAEG,04/09/2025 14:10,24,English Oak (Quercus robur),,7.4,East,6,45.1,0.5,7,34.8,7,Heather/Moorland (Calluna vulga,,Bad terrain on a slope so went east ,-4.262562302,56.51001895
25,5dc25eb7-2842-4a8c-8fe2-2d6a244664e2,09/04/2025 14:18:21.385,HDuncanAEG,09/04/2025 14:18:21.385,HDuncanAEG,04/09/2025 14:13,25,Silver Birch (Betula pendula),,7,West,5.5,28.8,0.5,10,79.8,7,Heather/Moorland (Calluna vulga,,Along river bank on top of a steep slope,-4.262435725,56.510013
